Date,Con,Lab,Lib Dem,SNP,Plaid Cymru,Green
08-06-2017,43.4,41,7.6,3.1,1,1.9
10-06-2017,39,45,7,3,1,3
16-06-2017,41,46,6,3,1,2
17-06-2017,41,46,6,3,1,2
18-06-2017,41,46,6,3,1,2
19-06-2017,41,46,6,3,1,2
20-06-2017,41,46,6,3,1,2
21-06-2017,41,46,6,3,1,2
27-06-2017,39,45,5,3,1,5
28-06-2017,41,40,7,2,0,2
29-06-2017,41,40,7,2,0,2
30-06-2017,41,40,7,2,0,2
30-06-2017,41,43,7,3,0,3
01-07-2017,41,43,7,3,0,3
02-07-2017,41,43,7,3,0,3
03-07-2017,41,43,7,3,0,3
05-07-2017,38,46,6,4,4,4
06-07-2017,38,46,6,4,4,4
10-07-2017,40,45,7,4,4,2
11-07-2017,37,42,10,0,0,4
12-07-2017,37,42,10,0,0,4
13-07-2017,37,42,10,0,0,4
14-07-2017,41,42,9,3,0,3
15-07-2017,41,42,9,3,0,3
16-07-2017,41,42,9,3,0,3
17-07-2017,41,42,9,3,0,3
18-07-2017,41,43,6,4,4,3
19-07-2017,41,43,6,4,4,3
31-07-2017,41,44,7,3,3,3
01-08-2017,41,44,7,3,3,3
07-08-2017,42,39,7,2,0,6
08-08-2017,42,39,7,2,0,6
09-08-2017,42,39,7,2,0,6
10-08-2017,42,39,7,2,0,6
11-08-2017,42,39,7,2,0,6
15-08-2017,40,43,6,4,1,4
16-08-2017,40,43,6,4,1,4
17-08-2017,40,43,6,4,1,4
18-08-2017,40,43,6,4,1,4
21-08-2017,41,42,8,4,4,4
22-08-2017,41,42,8,4,4,4
25-08-2017,42,42,7,2,0,3
26-08-2017,42,42,7,2,0,3
27-08-2017,42,42,7,2,0,3
28-08-2017,42,42,7,2,0,3
30-08-2017,38,43,7,3,1,4
31-08-2017,38,43,7,3,1,4
01-09-2017,38,43,7,3,1,4
08-09-2017,42,42,7,3,0,4
09-09-2017,42,42,7,3,0,4
10-09-2017,42,42,7,3,0,4
12-09-2017,39,38,8,3,0,6
13-09-2017,39,38,8,3,0,6
14-09-2017,39,38,8,3,0,6
15-09-2017,40,44,9,4,0,2
16-09-2017,40,44,9,4,0,2
17-09-2017,40,44,9,4,0,2
18-09-2017,40,44,9,4,0,2
19-09-2017,42,40,6,4,1,4
20-09-2017,42,40,6,4,1,4
21-09-2017,42,40,6,4,1,4
22-09-2017,40,42,8,3,1,4
22-09-2017,42,40,6,4,1,4
23-09-2017,40,42,8,3,1,4
24-09-2017,40,42,8,3,1,4
26-09-2017,37,42,10,3,0,4
27-09-2017,37,42,10,3,0,4
28-09-2017,37,42,10,3,0,4
29-09-2017,37,42,10,3,0,4
04-10-2017,40,42,5,4,0,5
05-10-2017,40,42,5,4,0,5
06-10-2017,41,41,7,4,1,4
06-10-2017,40,42,5,4,0,5
07-10-2017,41,41,7,4,1,4
08-10-2017,41,41,7,4,1,4
10-10-2017,39,42,8,4,4,4
11-10-2017,39,42,8,4,4,4
17-10-2017,40,42,8,4,4,4
18-10-2017,40,42,8,4,4,4
19-10-2017,40,42,8,4,4,4
20-10-2017,42,42,7,3,0,3
21-10-2017,42,42,7,3,0,3
22-10-2017,42,42,7,3,0,3
23-10-2017,42,42,7,3,0,3
24-10-2017,41,43,7,4,4,3
27-10-2017,38,40,9,4,1,4
28-10-2017,38,40,9,4,1,4
29-10-2017,38,40,9,4,1,4
30-10-2017,38,40,9,4,1,4
31-10-2017,38,40,9,4,1,4
01-11-2017,38,40,9,4,1,4
07-11-2017,40,43,6,4,4,4
08-11-2017,40,43,6,4,4,4
10-11-2017,41,41,7,4,0,4
11-11-2017,41,41,7,4,0,4
12-11-2017,41,41,7,4,0,4
14-11-2017,42,38,9,2,0,5
15-11-2017,42,38,9,2,0,5
16-11-2017,42,38,9,2,0,5
17-11-2017,42,38,9,2,0,5
18-11-2017,42,38,9,2,0,5
19-11-2017,42,38,9,2,0,5
19-11-2017,40,43,7,4,4,3
20-11-2017,40,43,7,4,4,3
21-11-2017,39,41,7,4,4,4
22-11-2017,39,41,7,4,4,4
22-11-2017,39,41,7,4,4,4
23-11-2017,39,41,7,4,4,4
24-11-2017,37,39,9,4,1,4
25-11-2017,37,39,9,4,1,4
26-11-2017,37,39,9,4,1,4
27-11-2017,37,39,9,4,1,4
28-11-2017,37,39,9,4,1,4
29-11-2017,37,45,6,3,0,4
30-11-2017,37,45,6,3,0,4
01-12-2017,37,45,6,3,0,4
06-12-2017,37,40,9,3,1,5
07-12-2017,37,40,9,3,1,5
08-12-2017,42,40,8,3,1,5
09-12-2017,42,40,8,3,1,5
10-12-2017,42,41,7,4,4,4
11-12-2017,42,41,7,4,4,4
12-12-2017,41,42,7,3,0,4
13-12-2017,41,42,7,3,0,4
14-12-2017,41,42,7,3,0,4
19-12-2017,40,42,7,5,5,4
20-12-2017,40,42,7,5,5,4
07-01-2018,40,41,9,4,4,3
08-01-2018,40,41,9,4,4,3
09-01-2018,40,41,8,3,1,4
10-01-2018,41,41,7,3,0,4
11-01-2018,41,41,7,3,0,4
12-01-2018,41,41,7,3,0,4
13-01-2018,41,41,7,3,0,4
14-01-2018,41,41,7,3,0,4
15-01-2018,41,41,7,3,0,4
16-01-2018,41,41,7,3,0,4
17-01-2018,41,41,7,3,0,4
18-01-2018,41,41,7,3,0,4
19-01-2018,41,41,7,3,0,4
19-01-2018,39,42,9,4,0,3
20-01-2018,39,42,9,4,0,3
21-01-2018,39,42,9,4,0,3
22-01-2018,39,42,9,4,0,3
23-01-2018,39,42,9,4,0,3
26-01-2018,40,43,8,2,0,3
27-01-2018,40,43,8,2,0,3
28-01-2018,42,42,6,4,4,2
29-01-2018,42,42,6,4,4,2
02-02-2018,41,40,8,3,0,4
03-02-2018,41,40,8,3,0,4
05-02-2018,43,39,8,3,3,3
06-02-2018,39,39,8,4,1,4
07-02-2018,39,39,8,4,1,4
08-02-2018,39,39,8,4,1,4
09-02-2018,39,39,8,4,1,4
10-02-2018,39,39,8,4,1,4
11-02-2018,39,39,8,4,1,4
12-02-2018,39,39,8,4,1,4
12-02-2018,40,41,8,3,3,4
13-02-2018,40,41,8,3,3,4
16-02-2018,42,43,7,3,0,3
17-02-2018,42,43,7,3,0,3
18-02-2018,42,43,7,3,0,3
19-02-2018,40,42,8,4,4,4
19-02-2018,42,43,7,3,0,3
20-02-2018,40,42,8,4,4,4
26-02-2018,41,42,7,4,4,3
27-02-2018,41,42,7,4,4,3
02-03-2018,43,42,6,4,1,2
03-03-2018,43,42,6,4,1,2
04-03-2018,43,42,6,4,1,2
05-03-2018,43,42,6,4,1,2
06-03-2018,43,42,6,4,1,2
07-03-2018,43,42,6,4,1,2
07-03-2018,37,44,9,3,0,3
08-03-2018,37,44,9,3,0,3
13-03-2018,42,40,6,4,1,4
14-03-2018,42,40,6,4,1,4
15-03-2018,42,40,6,4,1,4
16-03-2018,44,41,8,3,1,1
17-03-2018,44,41,8,3,1,1
18-03-2018,44,41,8,3,1,1
26-03-2018,43,39,8,3,3,3
27-03-2018,43,39,8,3,3,3
27-03-2018,43,38,8,4,1,3
28-03-2018,43,38,8,4,1,3
29-03-2018,43,38,8,4,1,3
30-03-2018,43,38,8,4,1,3
31-03-2018,43,38,8,4,1,3
01-04-2018,43,38,8,4,1,3
02-04-2018,43,38,8,4,1,3
03-04-2018,43,38,8,4,1,3
04-04-2018,43,38,8,4,1,3
04-04-2018,42,41,7,4,4,4
05-04-2018,42,41,7,4,4,4
05-04-2018,43,38,8,4,1,3
06-04-2018,42,41,7,3,0,4
07-04-2018,42,41,7,3,0,4
08-04-2018,42,41,7,3,0,4
09-04-2018,40,40,9,4,4,4
10-04-2018,40,40,7,4,1,5
11-04-2018,39,38,11,4,0,3
12-04-2018,39,38,11,4,0,3
13-04-2018,39,38,11,4,0,3
14-04-2018,40,40,9,3,1,3
16-04-2018,43,38,8,4,4,3
17-04-2018,43,38,8,4,4,3
24-04-2018,43,38,8,4,4,3
25-04-2018,43,38,8,4,4,3
27-04-2018,42,39,8,3,0,4
28-04-2018,42,39,8,3,0,4
29-04-2018,42,39,8,3,0,4
30-04-2018,42,38,7,4,4,3
01-05-2018,42,38,7,4,4,3
01-05-2018,39,39,10,4,1,4
02-05-2018,39,39,10,4,1,4
03-05-2018,39,39,10,4,1,4
04-05-2018,39,39,10,4,1,4
08-05-2018,41,40,8,3,1,3
09-05-2018,41,40,8,3,1,3
10-05-2018,41,40,8,3,1,3
11-05-2018,43,40,8,3,0,3
12-05-2018,43,40,8,3,0,3
13-05-2018,43,38,9,3,3,3
14-05-2018,43,38,9,3,3,3
15-05-2018,43,39,6,4,1,4
16-05-2018,41,41,7,3,1,3
17-05-2018,41,41,7,3,1,3
18-05-2018,40,40,7,5,0,2
19-05-2018,40,40,7,5,0,2
20-05-2018,40,40,7,5,0,2
21-05-2018,40,40,7,5,0,2
22-05-2018,40,40,7,5,0,2
25-05-2018,43,40,8,3,1,3
26-05-2018,43,40,8,3,1,3
27-05-2018,43,40,8,3,1,3
28-05-2018,42,39,9,5,5,3
29-05-2018,42,39,9,5,5,3
30-05-2018,41,41,6,4,0,5
31-05-2018,41,40,9,3,1,2
01-06-2018,41,40,9,3,1,2
02-06-2018,41,40,9,3,1,2
03-06-2018,41,40,9,3,1,2
04-06-2018,44,37,8,4,4,3
04-06-2018,41,40,9,3,1,2
05-06-2018,38,41,11,2,0,4
06-06-2018,38,41,11,2,0,4
07-06-2018,38,41,11,2,0,4
08-06-2018,42,40,8,3,0,3
09-06-2018,42,40,8,3,0,3
10-06-2018,42,40,8,3,0,3
11-06-2018,42,39,8,4,4,3
12-06-2018,42,39,8,4,4,3
18-06-2018,42,40,9,4,4,3
19-06-2018,41,38,7,4,1,3
20-06-2018,41,38,7,4,1,3
22-06-2018,41,40,9,3,1,3
22-06-2018,41,38,7,4,1,4
23-06-2018,41,38,7,4,1,4
24-06-2018,41,38,7,4,1,4
25-06-2018,41,38,7,4,1,4
26-06-2018,41,38,7,4,1,4
27-06-2018,41,38,7,4,1,4
03-07-2018,41,40,9,4,4,3
04-07-2018,41,40,9,4,4,3
05-07-2018,40,38,9,4,1,3
06-07-2018,40,38,9,4,1,3
07-07-2018,40,38,9,4,1,3
08-07-2018,40,38,9,4,1,3
09-07-2018,40,38,9,4,1,3
10-07-2018,37,39,10,4,4,6
11-07-2018,37,39,10,4,4,6
12-07-2018,37,42,7,3,4,6
13-07-2018,37,42,7,3,1,6
14-07-2018,37,42,7,3,1,6
16-07-2018,36,41,9,4,5,7
17-07-2018,36,41,9,4,4,7
18-07-2018,38,39,9,5,5,6
19-07-2018,38,39,9,5,4,6
20-07-2018,38,38,10,4,1,6
21-07-2018,38,38,10,4,1,6
22-07-2018,38,38,10,4,1,6
23-07-2018,38,38,10,4,1,6
24-07-2018,38,38,10,4,1,6
03-08-2018,39,40,7,4,0,6
04-08-2018,39,40,7,4,0,6
05-08-2018,39,40,7,4,0,6
06-08-2018,37,39,10,3,0,5
07-08-2018,37,39,10,3,0,5
08-08-2018,37,39,10,3,0,5
09-08-2018,40,39,9,4,1,4
09-08-2018,37,39,10,3,0,5
10-08-2018,40,39,9,4,1,4
10-08-2018,37,39,10,3,0,5
11-08-2018,40,39,9,4,1,4
12-08-2018,40,39,9,4,1,4
13-08-2018,40,39,9,4,1,4
13-08-2018,41,38,8,4,4,6
14-08-2018,37,40,8,3,1,6
15-08-2018,37,40,8,3,1,6
16-08-2018,37,40,8,3,1,6
17-08-2018,40,40,8,3,0,6
18-08-2018,40,40,8,3,0,6
19-08-2018,40,40,8,3,0,6
20-08-2018,40,37,9,5,5,6
21-08-2018,40,37,9,5,5,6
28-08-2018,39,37,10,4,4,5
29-08-2018,39,37,10,4,4,5
30-08-2018,38,38,10,4,4,6
31-08-2018,37,41,6,3,1,7
31-08-2018,38,38,10,4,4,6
01-09-2018,37,41,6,3,1,7
03-09-2018,39,35,11,5,5,5
04-09-2018,37,38,11,2,1,7
05-09-2018,37,38,11,2,1,7
06-09-2018,40,35,10,4,0,5
07-09-2018,40,35,10,4,0,5
08-09-2018,40,35,10,4,0,5
09-09-2018,40,35,10,4,0,5
10-09-2018,40,35,10,4,0,5
11-09-2018,39,38,7,4,1,6
12-09-2018,39,38,7,4,1,6
13-09-2018,39,38,7,4,1,6
14-09-2018,39,37,13,3,0,2
15-09-2018,39,37,13,3,0,2
16-09-2018,39,37,13,3,0,2
17-09-2018,39,37,13,3,0,2
18-09-2018,37,39,9,4,1,8
19-09-2018,37,39,9,4,1,8
20-09-2018,37,39,9,4,1,8
21-09-2018,41,40,9,3,0,4
22-09-2018,41,40,9,3,0,4
23-09-2018,41,40,9,3,0,4
24-09-2018,41,40,9,3,0,4
24-09-2018,42,36,11,4,4,4
25-09-2018,42,36,11,4,4,4
26-09-2018,39,40,9,3,1,5
27-09-2018,39,40,9,3,1,5
28-09-2018,35,40,12,4,1,5
29-09-2018,35,40,12,4,1,5
30-09-2018,42,36,9,4,4,5
01-10-2018,42,36,9,4,4,5
03-10-2018,38,39,10,4,1,4
04-10-2018,38,39,10,4,1,4
05-10-2018,38,39,10,4,1,4
10-10-2018,40,39,7,4,0,6
11-10-2018,41,36,10,4,1,3
12-10-2018,41,36,10,4,1,3
13-10-2018,41,36,10,4,1,3
14-10-2018,41,36,10,4,1,3
15-10-2018,41,36,10,4,1,3
19-10-2018,39,37,10,4,1,5
20-10-2018,39,40,8,3,0,3
21-10-2018,39,40,8,3,0,3
22-10-2018,39,40,8,3,0,3
23-10-2018,39,40,8,3,0,3
24-10-2018,39,40,8,3,0,3
25-10-2018,39,40,8,3,0,3
26-10-2018,39,40,8,3,0,3
27-10-2018,39,40,8,3,0,3
28-10-2018,39,40,8,3,0,3
29-10-2018,39,40,8,3,0,3
30-10-2018,39,40,8,3,0,3
31-10-2018,39,40,8,3,0,3
01-11-2018,39,40,8,3,0,3
02-11-2018,39,40,8,3,0,3
